game_id,team,player,metric,model_mean,p10,p25,p50,p75,p90,model_probability_over_market_line,model_probability_under_market_line,market_line,over_price,under_price,sportsbook,market_timestamp,forecast_written_at,latest_information_timestamp,source_freshness,POST_INACTIVES_COMPLETE,known_defect_flags,candidate_version,run_id,promoted,RANKING_ELIGIBLE,ranking_ineligible_reasons,correlation_group,model_minus_market_probability,abs_probability_disagreement,line_minus_mean_native_units,line_minus_mean_in_model_sds,line_percentile_in_model_distribution,model_sd,market_probability_over_no_vig,market_hold,no_vig_available,candidate,cutoff,research_label,namespace
2026_01_SF_LA,LA,Matthew Stafford,qb/att,30.27,19.0,26.0,31.0,36.0,43.0,0.316,0.684,34.5,-101,-127,DraftKings,2026-09-10T23:58:21Z,2026-09-11T00:13:09.885625Z,2026-09-11T00:08:49Z,12.46,True,"[{""contaminates_this_metric"": true, ""detail"": ""this board was sealed before official_inactive_ids reached the QB allocation, so an officially inactive quarterback may hold dropback share"", ""id"": ""QB_INACTIVE_NOT_CONSUMED""}]",V1_CANDIDATE_R8,5e70d8847e32c7ae,False,False,"[""KNOWN_DEFECT:QB_INACTIVE_NOT_CONSUMED""]",00-0026498:qb_volume,-0.1572,0.1572,4.234,0.3915,0.684,10.8156,0.4732,0.062,True,R8,post_inactives,post_inactives_R8,research
2026_01_SF_LA,LA,Matthew Stafford,qb/cmp,19.47,12.0,16.0,20.0,24.0,28.0,,,,,,,,2026-09-11T00:13:09.885625Z,2026-09-11T00:08:49Z,12.46,True,"[{""contaminates_this_metric"": true, ""detail"": ""this board was sealed before official_inactive_ids reached the QB allocation, so an officially inactive quarterback may hold dropback share"", ""id"": ""QB_INACTIVE_NOT_CONSUMED""}]",V1_CANDIDATE_R8,5e70d8847e32c7ae,False,False,"[""MARKET_QUOTE_ABSENT"", ""KNOWN_DEFECT:QB_INACTIVE_NOT_CONSUMED""]",00-0026498:qb_volume,,,,,,7.5633,,,False,R8,post_inactives,post_inactives_R8,research
2026_01_SF_LA,LA,Matthew Stafford,qb/db,32.65,22.0,29.0,33.0,39.0,47.0,,,,,,,,2026-09-11T00:13:09.885625Z,2026-09-11T00:08:49Z,12.46,True,"[{""contaminates_this_metric"": true, ""detail"": ""this board was sealed before official_inactive_ids reached the QB allocation, so an officially inactive quarterback may hold dropback share"", ""id"": ""QB_INACTIVE_NOT_CONSUMED""}]",V1_CANDIDATE_R8,5e70d8847e32c7ae,False,False,"[""MARKET_QUOTE_ABSENT"", ""KNOWN_DEFECT:QB_INACTIVE_NOT_CONSUMED""]",00-0026498:qb_volume,,,,,,11.5991,,,False,R8,post_inactives,post_inactives_R8,research
2026_01_SF_LA,LA,Matthew Stafford,qb/int,0.64,0.0,0.0,0.0,1.0,2.0,,,,,,,,2026-09-11T00:13:09.885625Z,2026-09-11T00:08:49Z,12.46,True,"[{""contaminates_this_metric"": true, ""detail"": ""this board was sealed before official_inactive_ids reached the QB allocation, so an officially inactive quarterback may hold dropback share"", ""id"": ""QB_INACTIVE_NOT_CONSUMED""}]",V1_CANDIDATE_R8,5e70d8847e32c7ae,False,False,"[""MARKET_QUOTE_ABSENT"", ""KNOWN_DEFECT:QB_INACTIVE_NOT_CONSUMED""]",00-0026498:qb_efficiency,,,,,,0.7787,,,False,R8,post_inactives,post_inactives_R8,research
2026_01_SF_LA,LA,Matthew Stafford,qb/ptd,1.42,0.0,0.0,1.0,2.0,3.0,,,,,,,,2026-09-11T00:13:09.885625Z,2026-09-11T00:08:49Z,12.46,True,"[{""contaminates_this_metric"": true, ""detail"": ""this board was sealed before official_inactive_ids reached the QB allocation, so an officially inactive quarterback may hold dropback share"", ""id"": ""QB_INACTIVE_NOT_CONSUMED""}]",V1_CANDIDATE_R8,5e70d8847e32c7ae,False,False,"[""MARKET_QUOTE_ABSENT"", ""KNOWN_DEFECT:QB_INACTIVE_NOT_CONSUMED""]",00-0026498:qb_efficiency,,,,,,1.2571,,,False,R8,post_inactives,post_inactives_R8,research
2026_01_SF_LA,LA,Matthew Stafford,qb/pyds,221.63,105.33,167.0,222.5,283.0,340.0,0.342,0.658,260.0,-111,-112,DraftKings,2026-09-10T23:58:21Z,2026-09-11T00:13:09.885625Z,2026-09-11T00:08:49Z,12.46,True,"[{""contaminates_this_metric"": true, ""detail"": ""this board was sealed before official_inactive_ids reached the QB allocation, so an officially inactive quarterback may hold dropback share"", ""id"": ""QB_INACTIVE_NOT_CONSUMED""}]",V1_CANDIDATE_R8,5e70d8847e32c7ae,False,False,"[""KNOWN_DEFECT:QB_INACTIVE_NOT_CONSUMED""]",00-0026498:qb_volume,-0.1569,0.1569,38.3661,0.3973,0.6565,96.5611,0.4989,0.0544,True,R8,post_inactives,post_inactives_R8,research
2026_01_SF_LA,LA,Matthew Stafford,qb/rtd,0.01,0.0,0.0,0.0,0.0,0.0,,,,,,,,2026-09-11T00:13:09.885625Z,2026-09-11T00:08:49Z,12.46,True,"[{""contaminates_this_metric"": true, ""detail"": ""this board was sealed before official_inactive_ids reached the QB allocation, so an officially inactive quarterback may hold dropback share"", ""id"": ""QB_INACTIVE_NOT_CONSUMED""}]",V1_CANDIDATE_R8,5e70d8847e32c7ae,False,False,"[""MARKET_QUOTE_ABSENT"", ""KNOWN_DEFECT:QB_INACTIVE_NOT_CONSUMED""]",00-0026498:other,,,,,,0.1045,,,False,R8,post_inactives,post_inactives_R8,research
2026_01_SF_LA,LA,Matthew Stafford,qb/rush_opp,1.0,0.0,0.0,1.0,2.0,2.0,,,,,,,,2026-09-11T00:13:09.885625Z,2026-09-11T00:08:49Z,12.46,True,"[{""contaminates_this_metric"": true, ""detail"": ""this board was sealed before official_inactive_ids reached the QB allocation, so an officially inactive quarterback may hold dropback share"", ""id"": ""QB_INACTIVE_NOT_CONSUMED""}]",V1_CANDIDATE_R8,5e70d8847e32c7ae,False,False,"[""MARKET_QUOTE_ABSENT"", ""KNOWN_DEFECT:QB_INACTIVE_NOT_CONSUMED""]",00-0026498:other,,,,,,1.0301,,,False,R8,post_inactives,post_inactives_R8,research
2026_01_SF_LA,LA,Matthew Stafford,qb/ryds,3.69,0.0,0.0,1.5,6.0,10.2,,,,,,,,2026-09-11T00:13:09.885625Z,2026-09-11T00:08:49Z,12.46,True,"[{""contaminates_this_metric"": true, ""detail"": ""this board was sealed before official_inactive_ids reached the QB allocation, so an officially inactive quarterback may hold dropback share"", ""id"": ""QB_INACTIVE_NOT_CONSUMED""}]",V1_CANDIDATE_R8,5e70d8847e32c7ae,False,False,"[""MARKET_QUOTE_ABSENT"", ""KNOWN_DEFECT:QB_INACTIVE_NOT_CONSUMED""]",00-0026498:other,,,,,,5.8408,,,False,R8,post_inactives,post_inactives_R8,research
2026_01_SF_LA,LA,Matthew Stafford,qb/sacks,1.8,0.0,1.0,2.0,3.0,4.0,,,,,,,,2026-09-11T00:13:09.885625Z,2026-09-11T00:08:49Z,12.46,True,"[{""contaminates_this_metric"": true, ""detail"": ""this board was sealed before official_inactive_ids reached the QB allocation, so an officially inactive quarterback may hold dropback share"", ""id"": ""QB_INACTIVE_NOT_CONSUMED""}]",V1_CANDIDATE_R8,5e70d8847e32c7ae,False,False,"[""MARKET_QUOTE_ABSENT"", ""KNOWN_DEFECT:QB_INACTIVE_NOT_CONSUMED""]",00-0026498:other,,,,,,1.4899,,,False,R8,post_inactives,post_inactives_R8,research
